protein_id,source_entry_release,model,length,known_residues,positive_residues,negative_residues,roc_auc_full_precision,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,brier_score
DP04138,2023_12,LoRA-DR-Suite ESM2-650M DisProt7,397,212,87,125,0.6613793103448276,0.5858585858585859,0.08141603913585718,0.4060700222776851
DP04272,2026_06,MUSE-IDR A10,1455,1187,26,1161,0.9999668720598953,0.9615384615384616,0.9606771350957397,0.00274148365730197
DP04272,2026_06,PUNCH2-Light Released-13,1455,1187,26,1161,0.9993374411979064,0.8510638297872339,0.8531275098537994,0.004867636433122806
DP04272,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,1455,1187,26,1161,0.9366428145497913,0.0,-0.008701781768900211,0.022382852923674583
DP04305,2026_06,MUSE-IDR A10,630,446,0,446,,0.0,0.0,0.1683927914269459
DP04305,2026_06,PUNCH2-Light Released-13,630,446,0,446,,0.0,0.0,0.04364978341249157
DP04305,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,630,446,0,446,,0.0,0.0,0.05379236274473405
DP04307,2026_06,MUSE-IDR A10,672,228,30,198,0.9993265993265994,0.967741935483871,0.9633432944855655,0.0220798943848495
DP04307,2026_06,PUNCH2-Light Released-13,672,228,30,198,0.7511784511784513,0.0,-0.025835394864798387,0.10805902029949115
DP04307,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,672,228,30,198,0.9289562289562289,0.0,0.0,0.08950495532178872
DP04312,2026_06,MUSE-IDR A10,782,92,0,92,,0.0,0.0,0.029210982180189315
DP04312,2026_06,PUNCH2-Light Released-13,782,92,0,92,,0.0,0.0,0.04962918708670183
DP04312,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,782,92,0,92,,0.0,0.0,0.02036611477647081
DP04313,2026_06,MUSE-IDR A10,159,20,20,0,,1.0,0.0,0.00013104211625842227
DP04313,2026_06,PUNCH2-Light Released-13,159,20,20,0,,0.888888888888889,0.0,0.1344428716508706
DP04313,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,159,20,20,0,,1.0,0.0,0.003219804446007194
DP04315,2026_06,MUSE-IDR A10,249,158,0,158,,0.0,0.0,0.057863804820306966
DP04315,2026_06,PUNCH2-Light Released-13,249,158,0,158,,0.0,0.0,0.03207381322843732
DP04315,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,249,158,0,158,,0.0,0.0,0.09185621964222354
DP04316,2026_06,MUSE-IDR A10,487,124,57,67,0.8316313170987171,0.6298342541436464,0.0,0.4205217247372146
DP04316,2026_06,PUNCH2-Light Released-13,487,124,57,67,0.8250851008117308,0.7702702702702703,0.5554389103576097,0.21661002876691865
DP04316,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,487,124,57,67,0.9668761455878502,0.9268292682926829,0.8646534038674333,0.07351591188423887
DP04318,2026_06,MUSE-IDR A10,280,147,19,128,0.9453125,0.33628318584070793,0.2892982613887494,0.35485688152015926
DP04318,2026_06,PUNCH2-Light Released-13,280,147,19,128,0.830592105263158,0.27142857142857146,0.17859356415342853,0.343835606303395
DP04318,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,280,147,19,128,0.8889802631578947,0.6399999999999999,0.5961570517743181,0.1028083119897589
DP04319,2026_06,MUSE-IDR A10,246,223,0,223,,0.0,0.0,0.00515826040277069
DP04319,2026_06,PUNCH2-Light Released-13,246,223,0,223,,0.0,0.0,0.004559618638985041
DP04319,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,246,223,0,223,,0.0,0.0,0.19759886835499213
DP04320,2026_06,MUSE-IDR A10,773,335,0,335,,0.0,0.0,0.19628188901778013
DP04320,2026_06,PUNCH2-Light Released-13,773,335,0,335,,0.0,0.0,0.0777407757321967
DP04320,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,773,335,0,335,,0.0,0.0,0.19209749690142883
DP04325,2025_06,MUSE-IDR A10,4834,1581,42,1539,0.9967356663263096,0.8351648351648353,0.8329258614880055,0.010600727246761303
DP04325,2025_06,PUNCH2-Light Released-13,4834,1581,42,1539,0.998128036139732,0.875,0.8729128046798569,0.008031020225435321
DP04325,2025_06,LoRA-DR-Suite ESM2-650M DisProt7,4834,1581,42,1539,0.9996287013830873,0.8842105263157896,0.8870111469830528,0.009173130884152851
DP04332,2026_06,MUSE-IDR A10,545,339,0,339,,0.0,0.0,0.006482772970885489
DP04332,2026_06,PUNCH2-Light Released-13,545,339,0,339,,0.0,0.0,0.0006851587630572143
DP04332,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,545,339,0,339,,0.0,0.0,0.016846370840065624
DP04339,2026_06,MUSE-IDR A10,190,57,0,57,,0.0,0.0,0.12427030357933894
DP04339,2026_06,PUNCH2-Light Released-13,190,57,0,57,,0.0,0.0,0.0006594755609027022
DP04339,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,190,57,0,57,,0.0,0.0,0.010858223142480505
DP04359,2026_06,MUSE-IDR A10,245,219,0,219,,0.0,0.0,8.293785763203548e-05
DP04359,2026_06,PUNCH2-Light Released-13,245,219,0,219,,0.0,0.0,0.004850988162030669
DP04359,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,245,219,0,219,,0.0,0.0,0.0059691899448967856
DP04362,2026_06,MUSE-IDR A10,432,283,0,283,,0.0,0.0,0.0089299211763387
DP04362,2026_06,PUNCH2-Light Released-13,432,283,0,283,,0.0,0.0,0.0026815665990330014
DP04362,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,432,283,0,283,,0.0,0.0,0.005799444900337215
DP04406,2026_06,MUSE-IDR A10,517,112,112,0,,1.0,0.0,5.567279515876602e-05
DP04406,2026_06,PUNCH2-Light Released-13,517,112,112,0,,1.0,0.0,0.029155477112935757
DP04406,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,517,112,112,0,,1.0,0.0,0.019706352606413645
DP04408,2026_06,MUSE-IDR A10,348,310,65,245,0.9415384615384615,0.9166666666666666,0.9016492346711702,0.047072583240204496
DP04408,2026_06,PUNCH2-Light Released-13,348,310,65,245,0.9957299843014128,0.888888888888889,0.8716019289105664,0.031536684037600786
DP04408,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,348,310,65,245,0.9447723704866562,0.8461538461538461,0.8053375196232339,0.05509294268192349
DP04409,2026_06,MUSE-IDR A10,107,97,61,36,1.0,0.8039215686274509,0.6573312020081576,0.11082861965687395
DP04409,2026_06,PUNCH2-Light Released-13,107,97,61,36,1.0,0.43589743589743585,0.3541325120143218,0.2881070004672323
DP04409,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,107,97,61,36,0.9767759562841529,0.9365079365079365,0.8225665321868478,0.09595412695213393
DP04411,2026_06,MUSE-IDR A10,213,168,0,168,,0.0,0.0,0.09312234171363362
DP04411,2026_06,PUNCH2-Light Released-13,213,168,0,168,,0.0,0.0,0.0022604023149764146
DP04411,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,213,168,0,168,,0.0,0.0,0.05843593928510797
DP04419,2026_06,MUSE-IDR A10,711,561,553,8,0.8779385171790235,0.9364928909952607,-0.04123410524660024,0.09257900150271549
DP04419,2026_06,PUNCH2-Light Released-13,711,561,553,8,0.8630198915009041,0.9251700680272108,0.284627226785928,0.12776101356687597
DP04419,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,711,561,553,8,0.8540913200723328,0.9283667621776505,-0.04429516815735743,0.14891438326019235
DP04433,2025_06,MUSE-IDR A10,250,250,250,0,,1.0,0.0,0.0013499159350166185
DP04433,2025_06,PUNCH2-Light Released-13,250,250,250,0,,0.36065573770491804,0.0,0.4926667561118323
DP04433,2025_06,LoRA-DR-Suite ESM2-650M DisProt7,250,250,250,0,,0.98989898989899,0.0,0.06624431784668575
DP04434,2025_06,MUSE-IDR A10,152,152,152,0,,1.0,0.0,0.0008833829378745591
DP04434,2025_06,PUNCH2-Light Released-13,152,152,152,0,,0.910394265232975,0.0,0.10603822554575033
DP04434,2025_06,LoRA-DR-Suite ESM2-650M DisProt7,152,152,152,0,,1.0,0.0,0.0583113998703658
DP04435,2025_06,MUSE-IDR A10,182,182,182,0,,1.0,0.0,0.01195643522511545
DP04435,2025_06,PUNCH2-Light Released-13,182,182,182,0,,0.22439024390243903,0.0,0.6211846951209509
DP04435,2025_06,LoRA-DR-Suite ESM2-650M DisProt7,182,182,182,0,,0.9972451790633609,0.0,0.0936108278000832
DP04437,2026_06,MUSE-IDR A10,482,431,0,431,,0.0,0.0,0.04200011827064494
DP04437,2026_06,PUNCH2-Light Released-13,482,431,0,431,,0.0,0.0,0.015526888796218491
DP04437,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,482,431,0,431,,0.0,0.0,0.0479413906509452
DP04438,2026_06,MUSE-IDR A10,1006,736,0,736,,0.0,0.0,0.02412074280617253
DP04438,2026_06,PUNCH2-Light Released-13,1006,736,0,736,,0.0,0.0,0.01351816063244479
DP04438,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,1006,736,0,736,,0.0,0.0,0.029745281803763582
DP04448,2026_06,MUSE-IDR A10,709,609,0,609,,0.0,0.0,0.0128165555840234
DP04448,2026_06,PUNCH2-Light Released-13,709,609,0,609,,0.0,0.0,0.007373108012981495
DP04448,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,709,609,0,609,,0.0,0.0,0.08324660734702442
DP04453,2026_06,MUSE-IDR A10,507,502,146,356,1.0,1.0,1.0,0.0011008443277329529
DP04453,2026_06,PUNCH2-Light Released-13,507,502,146,356,1.0,1.0,1.0,0.0027236304807743785
DP04453,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,507,502,146,356,0.9882253347698937,0.8981132075471698,0.8704075807102193,0.04430978330431931
DP04458,2026_06,MUSE-IDR A10,539,405,0,405,,0.0,0.0,0.025332932293405434
DP04458,2026_06,PUNCH2-Light Released-13,539,405,0,405,,0.0,0.0,0.005992196218472052
DP04458,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,539,405,0,405,,0.0,0.0,0.08264358372662982
DP04459,2026_06,MUSE-IDR A10,187,151,15,136,0.7470588235294118,0.0,-0.11029411764705882,0.13251556261834546
DP04459,2026_06,PUNCH2-Light Released-13,187,151,15,136,0.7563725490196078,0.0,-0.08360904403972169,0.11555307193561297
DP04459,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,187,151,15,136,0.7514705882352941,0.2830188679245283,0.2696690494862323,0.3290062835094223
DP04461,2026_06,MUSE-IDR A10,615,383,0,383,,0.0,0.0,0.03231286715139413
DP04461,2026_06,PUNCH2-Light Released-13,615,383,0,383,,0.0,0.0,0.005550257801932976
DP04461,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,615,383,0,383,,0.0,0.0,0.012561860641816027
DP04464,2026_06,MUSE-IDR A10,668,627,0,627,,0.0,0.0,0.01473601100824333
DP04464,2026_06,PUNCH2-Light Released-13,668,627,0,627,,0.0,0.0,0.002258881573525335
DP04464,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,668,627,0,627,,0.0,0.0,0.01684316448765402
DP04465,2026_06,MUSE-IDR A10,650,561,0,561,,0.0,0.0,0.006568433001156354
DP04465,2026_06,PUNCH2-Light Released-13,650,561,0,561,,0.0,0.0,0.0006095558834075343
DP04465,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,650,561,0,561,,0.0,0.0,0.020499065201378248
DP04466,2026_06,MUSE-IDR A10,1205,643,0,643,,0.0,0.0,0.012278004954701832
DP04466,2026_06,PUNCH2-Light Released-13,1205,643,0,643,,0.0,0.0,0.011335295452227154
DP04466,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,1205,643,0,643,,0.0,0.0,0.02760842754626996
DP04467,2026_06,MUSE-IDR A10,207,177,0,177,,0.0,0.0,0.0002409442564090136
DP04467,2026_06,PUNCH2-Light Released-13,207,177,0,177,,0.0,0.0,0.0017636834272539885
DP04467,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,207,177,0,177,,0.0,0.0,0.03503341327437452
DP04470,2026_06,MUSE-IDR A10,717,558,0,558,,0.0,0.0,0.0001341000792581272
DP04470,2026_06,PUNCH2-Light Released-13,717,558,0,558,,0.0,0.0,0.0009052542208790838
DP04470,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,717,558,0,558,,0.0,0.0,0.04790233556142858
DP04472,2026_06,MUSE-IDR A10,368,341,0,341,,0.0,0.0,0.008775795449698967
DP04472,2026_06,PUNCH2-Light Released-13,368,341,0,341,,0.0,0.0,0.003912145659933429
DP04472,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,368,341,0,341,,0.0,0.0,0.05854513162258212
DP04473,2026_06,MUSE-IDR A10,468,438,0,438,,0.0,0.0,0.0005527942438368067
DP04473,2026_06,PUNCH2-Light Released-13,468,438,0,438,,0.0,0.0,0.004620107082527269
DP04473,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,468,438,0,438,,0.0,0.0,0.023759405803225126
DP04474,2026_06,MUSE-IDR A10,89,63,0,63,,0.0,0.0,0.16761291472266016
DP04474,2026_06,PUNCH2-Light Released-13,89,63,0,63,,0.0,0.0,0.06405839017072874
DP04474,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,89,63,0,63,,0.0,0.0,0.18393549897330622
DP04476,2026_06,MUSE-IDR A10,398,252,0,252,,0.0,0.0,0.0020617718379118597
DP04476,2026_06,PUNCH2-Light Released-13,398,252,0,252,,0.0,0.0,0.0008503981303738856
DP04476,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,398,252,0,252,,0.0,0.0,0.019197076267834654
DP04481,2026_06,MUSE-IDR A10,196,118,0,118,,0.0,0.0,0.04162742145716803
DP04481,2026_06,PUNCH2-Light Released-13,196,118,0,118,,0.0,0.0,0.00353659735467459
DP04481,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,196,118,0,118,,0.0,0.0,0.5771785151788481
DP04482,2026_06,MUSE-IDR A10,359,253,0,253,,0.0,0.0,0.00016565057852597107
DP04482,2026_06,PUNCH2-Light Released-13,359,253,0,253,,0.0,0.0,0.0007631778261685928
DP04482,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,359,253,0,253,,0.0,0.0,0.007104581787136293
DP04486,2026_06,MUSE-IDR A10,268,243,0,243,,0.0,0.0,0.0002750273022273504
DP04486,2026_06,PUNCH2-Light Released-13,268,243,0,243,,0.0,0.0,0.010957079519802241
DP04486,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,268,243,0,243,,0.0,0.0,0.0032760115331218836
DP04489,2026_06,MUSE-IDR A10,281,228,0,228,,0.0,0.0,0.002245414435336809
DP04489,2026_06,PUNCH2-Light Released-13,281,228,0,228,,0.0,0.0,0.002961460408693968
DP04489,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,281,228,0,228,,0.0,0.0,0.027198570124578738
DP04491,2026_06,MUSE-IDR A10,393,234,14,220,0.8301948051948052,0.0,-0.08724680635794482,0.12009771223544934
DP04491,2026_06,PUNCH2-Light Released-13,393,234,14,220,0.8301948051948052,0.0,-0.07060692064806225,0.08165672459134883
DP04491,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,393,234,14,220,0.9022727272727273,0.16666666666666663,0.10395409279758716,0.05741852898677971
DP04492,2026_06,MUSE-IDR A10,330,318,25,293,0.9115358361774744,0.13636363636363635,0.07425390606030086,0.0792988124203278
DP04492,2026_06,PUNCH2-Light Released-13,330,318,25,293,0.9886689419795222,0.42424242424242425,0.47534593694592653,0.034381914902389885
DP04492,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,330,318,25,293,0.9627303754266212,0.4132231404958678,0.44419847668516355,0.16513593492193704
DP04494,2026_06,MUSE-IDR A10,91,69,0,69,,0.0,0.0,0.0029605727560321933
DP04494,2026_06,PUNCH2-Light Released-13,91,69,0,69,,0.0,0.0,0.0011702445237784013
DP04494,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,91,69,0,69,,0.0,0.0,0.3430646433909088
DP04501,2026_06,MUSE-IDR A10,105,68,0,68,,0.0,0.0,0.10782569933471371
DP04501,2026_06,PUNCH2-Light Released-13,105,68,0,68,,0.0,0.0,0.01763634606197856
DP04501,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,105,68,0,68,,0.0,0.0,0.12630102807921342
DP04508,2026_06,MUSE-IDR A10,460,420,128,292,0.9987960188356164,0.9208633093525179,0.8882798522371262,0.04182939316984889
DP04508,2026_06,PUNCH2-Light Released-13,460,420,128,292,0.9995719178082192,0.980544747081712,0.9719838798613039,0.011942201319072603
DP04508,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,460,420,128,292,0.9800139126712328,0.955223880597015,0.9363291775690444,0.03177254692270985
DP04509,2026_06,MUSE-IDR A10,444,63,63,0,,1.0,0.0,0.009472928139181143
DP04509,2026_06,PUNCH2-Light Released-13,444,63,63,0,,1.0,0.0,0.016859419039107988
DP04509,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,444,63,63,0,,0.9411764705882353,0.0,0.1654101456226507
DP04516,2026_06,MUSE-IDR A10,61,24,24,0,,0.9787234042553191,0.0,0.0372124243659504
DP04516,2026_06,PUNCH2-Light Released-13,61,24,24,0,,0.4,0.0,0.36702407413018223
DP04516,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,61,24,24,0,,1.0,0.0,0.00048204967209768845
DP04518,2026_06,MUSE-IDR A10,1017,342,0,342,,0.0,0.0,0.06436208603852699
DP04518,2026_06,PUNCH2-Light Released-13,1017,342,0,342,,0.0,0.0,0.01185971827478563
DP04518,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,1017,342,0,342,,0.0,0.0,0.031861328979242494
DP04521,2026_06,MUSE-IDR A10,649,152,0,152,,0.0,0.0,0.14224344345345796
DP04521,2026_06,PUNCH2-Light Released-13,649,152,0,152,,0.0,0.0,0.1094868480010072
DP04521,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,649,152,0,152,,0.0,0.0,0.13182728563937773
DP04522,2026_06,MUSE-IDR A10,377,103,39,64,0.9551282051282051,0.7358490566037735,0.572210951602928,0.22285587139169133
DP04522,2026_06,PUNCH2-Light Released-13,377,103,39,64,0.8962339743589745,0.7499999999999999,0.5968668193156661,0.22706017978110551
DP04522,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,377,103,39,64,0.8423477564102564,0.7526881720430108,0.5832898543097973,0.1856650461316615
DP04524,2026_06,MUSE-IDR A10,266,219,0,219,,0.0,0.0,0.00044962073495863217
DP04524,2026_06,PUNCH2-Light Released-13,266,219,0,219,,0.0,0.0,0.002940208788494197
DP04524,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,266,219,0,219,,0.0,0.0,0.027886778109281283
DP04526,2026_06,MUSE-IDR A10,346,277,0,277,,0.0,0.0,0.04100401451087464
DP04526,2026_06,PUNCH2-Light Released-13,346,277,0,277,,0.0,0.0,0.0046551775062320284
DP04526,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,346,277,0,277,,0.0,0.0,0.06344075096315054
DP04527,2026_06,MUSE-IDR A10,356,234,10,224,1.0,0.9523809523809523,0.9513319439251829,0.012865396673227
DP04527,2026_06,PUNCH2-Light Released-13,356,234,10,224,0.9995535714285715,0.9473684210526316,0.9465727652959385,0.014479792468011461
DP04527,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,356,234,10,224,0.9839285714285715,0.37037037037037035,0.43906260832138055,0.10793149674059088
DP04530,2026_06,MUSE-IDR A10,245,211,0,211,,0.0,0.0,0.003815194423140259
DP04530,2026_06,PUNCH2-Light Released-13,245,211,0,211,,0.0,0.0,0.0006757366208429597
DP04530,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,245,211,0,211,,0.0,0.0,0.10441126656110931
DP04531,2026_06,MUSE-IDR A10,623,18,18,0,,0.8,0.0,0.19322620051891398
DP04531,2026_06,PUNCH2-Light Released-13,623,18,18,0,,0.0,0.0,0.49755896918848186
DP04531,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,623,18,18,0,,0.0,0.0,0.7203868344373828
DP04533,2026_06,MUSE-IDR A10,1188,102,11,91,1.0,1.0,1.0,0.005344029382407834
DP04533,2026_06,PUNCH2-Light Released-13,1188,102,11,91,1.0,0.625,0.6530154981792013,0.036563374312620224
DP04533,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,1188,102,11,91,1.0,0.8421052631578948,0.8390839621582916,0.025522451669458497
DP04534,2026_06,MUSE-IDR A10,578,44,34,10,0.5294117647058824,0.6666666666666667,-0.33210558207753577,0.32300359363663805
DP04534,2026_06,PUNCH2-Light Released-13,578,44,34,10,0.6970588235294117,0.6122448979591837,0.39003822561925783,0.3338240908920728
DP04534,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,578,44,34,10,0.5588235294117648,0.6206896551724139,-0.05940885257860046,0.2809146604102753
DP04535,2026_06,MUSE-IDR A10,312,93,18,75,0.4888888888888889,0.3302752293577982,0.07262730392025629,0.55952836784596
DP04535,2026_06,PUNCH2-Light Released-13,312,93,18,75,0.48518518518518516,0.14035087719298245,-0.1957121879839954,0.38110625583256696
DP04535,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,312,93,18,75,0.5925925925925927,0.1818181818181818,0.007161148740394329,0.1762218984269405
DP04536,2026_06,MUSE-IDR A10,555,401,0,401,,0.0,0.0,0.0047762375250840665
DP04536,2026_06,PUNCH2-Light Released-13,555,401,0,401,,0.0,0.0,0.008345501126054995
DP04536,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,555,401,0,401,,0.0,0.0,0.012664022039188767
DP04539,2026_06,MUSE-IDR A10,757,405,0,405,,0.0,0.0,0.2754982600194326
DP04539,2026_06,PUNCH2-Light Released-13,757,405,0,405,,0.0,0.0,0.06048981115395638
DP04539,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,757,405,0,405,,0.0,0.0,0.07506731994653194
DP04542,2026_06,MUSE-IDR A10,643,316,0,316,,0.0,0.0,0.0016987012725067062
DP04542,2026_06,PUNCH2-Light Released-13,643,316,0,316,,0.0,0.0,0.0005726032315055265
DP04542,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,643,316,0,316,,0.0,0.0,0.001144175496001003
DP04563,2026_06,MUSE-IDR A10,291,217,0,217,,0.0,0.0,0.0016356760370648208
DP04563,2026_06,PUNCH2-Light Released-13,291,217,0,217,,0.0,0.0,0.0001057793406604052
DP04563,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,291,217,0,217,,0.0,0.0,0.002206465363906597
DP04564,2026_06,MUSE-IDR A10,185,72,0,72,,0.0,0.0,0.4676035847254069
DP04564,2026_06,PUNCH2-Light Released-13,185,72,0,72,,0.0,0.0,0.08149055407315069
DP04564,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,185,72,0,72,,0.0,0.0,0.4423523388700741
DP04565,2026_06,MUSE-IDR A10,272,257,24,233,0.9805078683834049,0.7999999999999999,0.7829945825281837,0.026540867628570056
DP04565,2026_06,PUNCH2-Light Released-13,272,257,24,233,0.9298998569384835,0.7368421052631579,0.7478822409743952,0.04567715617721475
DP04565,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,272,257,24,233,0.9738912732474964,0.6285714285714286,0.6176005467474178,0.09100561505456851
DP04566,2026_06,MUSE-IDR A10,367,319,0,319,,0.0,0.0,0.0001895948566037694
DP04566,2026_06,PUNCH2-Light Released-13,367,319,0,319,,0.0,0.0,0.0022508888209603175
DP04566,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,367,319,0,319,,0.0,0.0,0.01600170844585873
DP04568,2026_06,MUSE-IDR A10,5037,4640,0,4640,,0.0,0.0,0.0896639866075885
DP04568,2026_06,PUNCH2-Light Released-13,5037,4640,0,4640,,0.0,0.0,0.04150326993213827
DP04568,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,5037,4640,0,4640,,0.0,0.0,0.060480437223659346
DP04574,2026_06,MUSE-IDR A10,707,697,386,311,0.999608483414691,0.9039812646370023,0.779306453093401,0.07694850007769058
DP04574,2026_06,PUNCH2-Light Released-13,707,697,386,311,0.9992003065491561,0.9484029484029485,0.8832175971511327,0.03871167200810443
DP04574,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,707,697,386,311,0.9858429268780301,0.4803149606299213,0.41345908117304725,0.2129935601827274
DP04578,2026_06,MUSE-IDR A10,619,426,0,426,,0.0,0.0,0.06212517166530706
DP04578,2026_06,PUNCH2-Light Released-13,619,426,0,426,,0.0,0.0,0.0037972405221587263
DP04578,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,619,426,0,426,,0.0,0.0,0.07052328645329421
DP04587,2026_06,MUSE-IDR A10,963,154,0,154,,0.0,0.0,0.03945755737957963
DP04587,2026_06,PUNCH2-Light Released-13,963,154,0,154,,0.0,0.0,0.006147883689547986
DP04587,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,963,154,0,154,,0.0,0.0,0.007196562552507111
DP04609,2026_06,MUSE-IDR A10,1114,257,0,257,,0.0,0.0,0.00238155276783595
