protein_id,source_entry_release,length,known_residues,positive_residues,negative_residues,roc_auc_full_precision,aps_full_precision,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,brier_score
DP04438,2026_06,1006,736,0,736,,,0.0,0.0,0.02412074280617253
DP04448,2026_06,709,609,0,609,,,0.0,0.0,0.0128165555840234
DP04453,2026_06,507,502,146,356,1.0,1.0,1.0,1.0,0.0011008443277329529
DP04458,2026_06,539,405,0,405,,,0.0,0.0,0.025332932293405434
DP04459,2026_06,187,151,15,136,0.7470588235294118,0.17487161696840342,0.0,-0.11029411764705882,0.13251556261834546
DP04461,2026_06,615,383,0,383,,,0.0,0.0,0.03231286715139413
DP04464,2026_06,668,627,0,627,,,0.0,0.0,0.01473601100824333
DP04465,2026_06,650,561,0,561,,,0.0,0.0,0.006568433001156354
DP04466,2026_06,1205,643,0,643,,,0.0,0.0,0.012278004954701832
DP04467,2026_06,207,177,0,177,,,0.0,0.0,0.0002409442564090136
DP04470,2026_06,717,558,0,558,,,0.0,0.0,0.0001341000792581272
DP04472,2026_06,368,341,0,341,,,0.0,0.0,0.008775795449698967
DP04473,2026_06,468,438,0,438,,,0.0,0.0,0.0005527942438368067
DP04474,2026_06,89,63,0,63,,,0.0,0.0,0.16761291472266016
DP04476,2026_06,398,252,0,252,,,0.0,0.0,0.0020617718379118597
DP04481,2026_06,196,118,0,118,,,0.0,0.0,0.04162742145716803
DP04482,2026_06,359,253,0,253,,,0.0,0.0,0.00016565057852597107
DP04486,2026_06,268,243,0,243,,,0.0,0.0,0.0002750273022273504
DP04489,2026_06,281,228,0,228,,,0.0,0.0,0.002245414435336809
DP04491,2026_06,393,234,14,220,0.8301948051948052,0.1582698493347484,0.0,-0.08724680635794482,0.12009771223544934
DP04492,2026_06,330,318,25,293,0.9115358361774744,0.313416048486284,0.13636363636363635,0.07425390606030086,0.0792988124203278
DP04494,2026_06,91,69,0,69,,,0.0,0.0,0.0029605727560321933
DP04501,2026_06,105,68,0,68,,,0.0,0.0,0.10782569933471371
DP04508,2026_06,460,420,128,292,0.9987960188356164,0.9973515576860311,0.9208633093525179,0.8882798522371262,0.04182939316984889
DP04509,2026_06,444,63,63,0,,,1.0,0.0,0.009472928139181143
DP04516,2026_06,61,24,24,0,,,0.9787234042553191,0.0,0.0372124243659504
DP04518,2026_06,1017,342,0,342,,,0.0,0.0,0.06436208603852699
DP04521,2026_06,649,152,0,152,,,0.0,0.0,0.14224344345345796
DP04522,2026_06,377,103,39,64,0.9551282051282051,0.9291455993682538,0.7358490566037735,0.572210951602928,0.22285587139169133
DP04524,2026_06,266,219,0,219,,,0.0,0.0,0.00044962073495863217
DP04526,2026_06,346,277,0,277,,,0.0,0.0,0.04100401451087464
DP04527,2026_06,356,234,10,224,1.0,1.0,0.9523809523809523,0.9513319439251829,0.012865396673227
DP04530,2026_06,245,211,0,211,,,0.0,0.0,0.003815194423140259
DP04531,2026_06,623,18,18,0,,,0.8,0.0,0.19322620051891398
DP04533,2026_06,1188,102,11,91,1.0,1.0,1.0,1.0,0.005344029382407834
DP04534,2026_06,578,44,34,10,0.5294117647058824,0.8689544545991965,0.6666666666666667,-0.33210558207753577,0.32300359363663805
DP04535,2026_06,312,93,18,75,0.4888888888888889,0.18475618061004823,0.3302752293577982,0.07262730392025629,0.55952836784596
DP04536,2026_06,555,401,0,401,,,0.0,0.0,0.0047762375250840665
DP04539,2026_06,757,405,0,405,,,0.0,0.0,0.2754982600194326
DP04542,2026_06,643,316,0,316,,,0.0,0.0,0.0016987012725067062
DP04563,2026_06,291,217,0,217,,,0.0,0.0,0.0016356760370648208
DP04564,2026_06,185,72,0,72,,,0.0,0.0,0.4676035847254069
DP04565,2026_06,272,257,24,233,0.9805078683834049,0.9057626026535388,0.7999999999999999,0.7829945825281837,0.026540867628570056
DP04566,2026_06,367,319,0,319,,,0.0,0.0,0.0001895948566037694
DP04568,2026_06,5037,4640,0,4640,,,0.0,0.0,0.0896639866075885
DP04574,2026_06,707,697,386,311,0.999608483414691,0.999689062045332,0.9039812646370023,0.779306453093401,0.07694850007769058
DP04578,2026_06,619,426,0,426,,,0.0,0.0,0.06212517166530706
DP04587,2026_06,963,154,0,154,,,0.0,0.0,0.03945755737957963
DP04609,2026_06,1114,257,0,257,,,0.0,0.0,0.00238155276783595
DP04615,2026_06,190,113,0,113,,,0.0,0.0,0.0010021819468683966
DP04619,2026_06,166,148,0,148,,,0.0,0.0,0.0001251364059262044
DP04643,2026_06,485,465,0,465,,,0.0,0.0,0.00579449449446949
DP04750,2026_06,1514,387,0,387,,,0.0,0.0,0.007197199947369019
DP04817,2026_06,242,150,0,150,,,0.0,0.0,0.010202130448124758
DP04818,2026_06,237,124,0,124,,,0.0,0.0,0.01976252871341642
